item_id,metric,your_score,llm_score
run_20260604-162434_e46d8951_2937336785,coherence,3,3
run_20260604-162434_e46d8951_2937336785,alignment,3,2
run_20260604-162434_e46d8951_2937336785,separation,3,2
run_20260604-164857_640f1854_2288724880,coherence,3,4
run_20260604-164857_640f1854_2288724880,alignment,1,2
run_20260604-164857_640f1854_2288724880,separation,2,3
run_20260604-172221_156a3cb0_109215289,coherence,1,2
run_20260604-172221_156a3cb0_109215289,alignment,1,1
run_20260604-172221_156a3cb0_109215289,separation,1,1
run_20260604-172125_49e14096_262131691,coherence,3,3
run_20260604-172125_49e14096_262131691,alignment,3,2
run_20260604-172125_49e14096_262131691,separation,4,2
run_20260604-173911_0875c235_1594386578,coherence,3,4
run_20260604-173911_0875c235_1594386578,alignment,3,3
run_20260604-173911_0875c235_1594386578,separation,4,3
run_20260604-175732_95314ce6_1315013189,coherence,4,4
run_20260604-175732_95314ce6_1315013189,alignment,3,3
run_20260604-175732_95314ce6_1315013189,separation,3,4
